station_id,external_id,name,short_name,lat,lon,rental_methods,capacity,electric_bike_surcharge_waiver,is_charging_info,eightd_has_key_dispenser,has_kiosk,eightd_station_services,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,is_charging_status,eightd_active_station_services,total_capacity,utilization_rate
194,0b11d60b-08f3-11e7-a1cb-3863bb33a4e4,Maguire / de Gaspé,6094,45.526110205402006,-73.59430432330555,"['CREDITCARD', 'KEY']",19,False,False,False,True,,16,5,1,2,0,1,1,1,1763056334,False,False,,18,0.8888888888888888
195,0b11d77c-08f3-11e7-a1cb-3863bb33a4e4,de Bullion / Laurier,6195,45.52448601488588,-73.5913065727982,"['CREDITCARD', 'KEY']",19,False,False,False,True,,3,0,0,16,0,1,1,1,1763056613,False,False,,19,0.15789473684210525
196,0b11d8f6-08f3-11e7-a1cb-3863bb33a4e4,Villeneuve / St-Dominique,6196,45.522272664526696,-73.58870131898584,"['CREDITCARD', 'KEY']",27,False,False,False,True,,11,3,2,12,2,1,1,1,1763056654,False,False,,23,0.4782608695652174
197,0b11da63-08f3-11e7-a1cb-3863bb33a4e4,de Bordeaux / Masson,6197,45.539037937964046,-73.58252048492432,"['CREDITCARD', 'KEY']",19,False,False,False,True,,10,1,2,7,0,1,1,1,1763056423,False,False,,17,0.5882352941176471
198,0b11dbd1-08f3-11e7-a1cb-3863bb33a4e4,Hélène-Baillargeon / St-Denis,6198,45.52973581777825,-73.59512954950333,"['CREDITCARD', 'KEY']",23,False,False,False,True,,3,1,0,20,0,1,1,1,1763050743,False,False,,23,0.13043478260869565
199,0b11dd51-08f3-11e7-a1cb-3863bb33a4e4,Clark / St-Viateur,6199,45.5251943015533,-73.59935637563467,"['CREDITCARD', 'KEY']",15,False,False,False,True,,1,1,0,14,0,1,1,1,1763056260,False,False,,15,0.06666666666666667
200,0b11dec0-08f3-11e7-a1cb-3863bb33a4e4,Maguire / St-Laurent,6200,45.524628485592636,-73.5958108305931,"['CREDITCARD', 'KEY']",26,False,False,False,True,,12,8,1,13,0,1,1,1,1763056034,False,False,,25,0.48
201,0b11dfdd-08f3-11e7-a1cb-3863bb33a4e4,de l'Hôtel-de-Ville / Villeneuve,6201,45.52348082760688,-73.58732756238169,"['CREDITCARD', 'KEY']",23,False,False,False,True,,16,4,0,7,0,1,1,1,1763056314,False,False,,23,0.6956521739130435
203,0b1204af-08f3-11e7-a1cb-3863bb33a4e4,Jeanne-Mance / Milton,6205,45.51025293429709,-73.57320785522461,"['CREDITCARD', 'KEY']",23,False,False,False,True,,2,0,0,21,0,1,1,1,1763054903,False,False,,23,0.08695652173913043
204,0b1205e1-08f3-11e7-a1cb-3863bb33a4e4,Prince-Arthur / du Parc,6206,45.51050104659654,-73.57557892799377,"['CREDITCARD', 'KEY']",35,False,False,False,True,,7,2,1,27,0,1,1,1,1763056622,False,False,,34,0.20588235294117646
